sentiment,lat,lon
0.0,29.29961886,47.94658403
0.0,-23.929751,-46.3898236
0.0,30.12176002,-81.53214854
0.0,-6.2372603,106.7184973
0.0,47.2360237,39.7439615
0.0,42.73314789,-3.41430309
-1.0,43.2295894,-5.5203532
0.0,-30.0898641,-51.2168207
0.0,-23.60417579,-46.31207912
0.0,-2.9646933,104.7377968
0.0,-6.18895738,106.84297119
5.0,53.14818813,-0.84772731
0.0,13.8519547,100.695153
0.0,58.73511273,5.64638629
0.0,36.6972813,-4.4488242
0.0,18.48112,-69.9794
-1.0,-34.5382822,-58.50580887
0.0,16.0510984,103.6624204
0.0,41.09564961,30.68761874
0.0,2.92514,101.45856
0.0,44.1127373,-70.389235
0.0,14.6509478,120.9543379
3.0,7.20339705,124.22981823
0.0,42.34925367,-71.08417713
0.0,-25.3778427,-49.2580964
0.0,-5.2288552,119.5013305
0.0,-34.849586,-56.2753144
0.0,48.7339099,2.2614763
0.0,41.398871,2.007811
0.0,-23.1728546,-45.8103495
0.0,37.322899,127.1194126
0.0,-6.2703973,107.0223755
0.0,-34.5990478,-58.4424451
0.0,-6.22518,107.06059
0.0,35.2820735,-2.9404166
3.0,53.59431292,-2.56845879
0.0,58.60366348,49.7975257
0.0,39.62978097,-86.1292815
0.0,40.37182735,-80.04816695
0.0,41.04761339,29.00274259
0.0,35.7358867,139.3273048
0.0,-10.9533204,-37.0787492
0.0,-23.2808496,-45.8895336
0.0,1.6601172,103.6385861
3.0,38.7734089,-77.4657895
0.0,45.1007981,-93.3258747
2.0,55.67044136,37.50879554
0.0,2.7637564,101.7668549
3.0,-6.1727319,106.6776754
-2.0,42.27826851,-85.63086487
0.0,-6.91949,107.59082
0.0,-9.3946395,-40.4964787
0.0,39.59852,-0.5895636
-1.0,40.73342366,-84.06203783
0.0,-5.1460556,119.4100608
0.0,14.625126,120.9798076
0.0,1.5305884,103.6284751
2.0,39.4749465,-76.2511864
0.0,39.5911793,2.63015171
0.0,-2.97717421,104.74118228
0.0,-6.875705,107.587105
0.0,42.77415778,141.60546885
0.0,24.77668818,46.6277429
0.0,14.74150071,104.5705611
0.0,-7.9579888,112.6425494
0.0,3.1346222,101.6107739
0.0,2.7200813,101.9645329
0.0,40.37277562,-3.6912946
0.0,51.4517117,0.2727942
0.0,-23.2165784,-45.8946348
0.0,-6.20138913,106.76720783
0.0,24.9871658,67.133512
0.0,13.62899283,100.60930434
0.0,-27.60751525,-48.59458923
-1.0,42.9547404,-78.74723727
0.0,-22.15117201,-42.42057711
-3.0,39.73458505,-89.08511522
0.0,13.66085462,100.5262832
-4.0,38.75456021,-77.16093255
0.0,-24.94411025,-51.86340579
3.0,4.4480476,-75.1556262
0.0,45.15960948,1.48190166
0.0,38.5607452,27.558859
0.0,34.62304826,135.54403606
0.0,-6.23351,106.93162
0.0,-22.27287167,-42.53118667
0.0,37.07396419,37.33983322
3.0,32.71996181,-117.09811869
0.0,51.4917931,-0.2226608
0.0,49.8817946,2.3063274
0.0,40.74340594,-73.97258712
0.0,53.34194316,-6.28684044
1.0,42.9447431,-78.8049152
0.0,36.832456,-4.7034387
0.0,19.21359778,-70.53675359
0.0,35.83504431,139.69156112
0.0,-34.4942747,-58.6356001
-6.0,42.12264725,-72.74707411
0.0,34.93600967,135.75504787
0.0,14.676782,120.5357666
0.0,15.6056963,32.5757979
0.0,29.2934757,48.0551195
0.0,35.82634,127.1143407
0.0,-6.4772,106.84845
-2.0,51.06874515,-1.79993849
0.0,-0.03165707,109.34354495
0.0,14.55064454,121.00132144
3.0,12.97501371,77.63879882
0.0,32.5962078,131.6876916
0.0,37.00069459,27.74326168
0.0,35.2677519,136.9472352
-1.0,14.030557,-60.9555769
2.0,-25.88456135,-48.58760611
0.0,14.3310493,121.0953753
0.0,34.3585033,35.7839493
0.0,14.2108988,121.1422702
0.0,53.70491254,-2.32980414
0.0,-28.4838975,-49.0269482
0.0,-6.2528469,106.9062216
0.0,18.3404897,103.6195831
0.0,35.5394729,139.691086
0.0,55.7441442,37.50886917
0.0,41.6313999,-0.8756299
0.0,-6.2456964,106.9441706
-2.0,39.6418424,-104.8016337
12.0,-7.0828506,107.7761954
0.0,-6.1456605,106.8358195
0.0,41.090057,-5.0037652
2.0,52.3017196,-2.0731053
0.0,3.2151977,101.6946429
4.0,51.5088651,-0.5327862
0.0,13.9817241,100.678028
0.0,10.4756541,-73.2691125
0.0,42.59370801,0.50160878
0.0,13.86268423,100.50859736
0.0,6.0399415,102.2126422
0.0,48.5197176,2.639107
0.0,39.06437254,26.8818866
0.0,-23.6955895,-46.6460303
0.0,37.0149795,127.259074
0.0,-7.7658205,110.4137049
0.0,34.967096,135.772691
0.0,4.0223974,98.2851429
0.0,3.8627776,103.3184079
0.0,21.4786121,39.1861111
1.0,47.57297658,-52.72962337
3.0,1.4571186,124.8054872
-2.0,41.15324678,-80.69309564
0.0,40.88341044,-74.08939806
0.0,35.41236799,-80.86117106
-1.0,33.8134647,-84.31053088
0.0,40.41840288,-86.10710459
0.0,51.04092272,2.38698606
-1.0,-34.6521762,-58.6950342
0.0,51.76566198,-1.59383909
0.0,-19.9825714,-44.00205969
0.0,36.1143968,139.94689589
0.0,38.1753658,-85.6683984
0.0,-5.3589373,104.989167
2.0,40.1175878,-75.35474114
0.0,41.03617453,28.98161709
-1.0,-34.7065461,-58.3715888
0.0,-6.24930654,106.79009615
3.0,55.75321366,-4.6889725
3.0,-29.2728,31.3601
0.0,-6.2626422,106.7577345
3.0,38.8989748,-76.8747638
0.0,29.3226393,47.7571737
0.0,-19.4775803,-42.5445862
0.0,31.24200941,121.47762171
0.0,34.18663125,-79.83500785
0.0,52.26410845,104.2125023
0.0,18.26099598,42.75130746
0.0,48.78701345,2.42559376
0.0,-0.8819687,119.8765902
0.0,-23.881053,-46.4133961
0.0,-5.2129911,119.4932828
0.0,29.63189701,-95.41902513
0.0,6.2443943,-75.5737507
0.0,37.4488103,127.1489181
0.0,-30.2454906,-54.9173902
0.0,-7.39197,109.71341
-2.0,14.57889739,121.0466584
0.0,37.5432505,127.2242806
0.0,40.96255449,29.0763393
0.0,-8.71280205,115.2128526
0.0,28.2599724,42.9296387
0.0,15.1899069,120.6504762
0.0,-3.7785415,-38.5405734
0.0,13.77251153,100.5709485
0.0,34.967096,135.772691
0.0,14.70075622,121.06329079
0.0,48.5593594,3.2863943
1.0,-31.4251002,-64.2217157
0.0,-31.94848019,115.85202555
0.0,47.33029275,5.04822332
0.0,18.50135,-69.88455
0.0,14.5940201,100.9916805
0.0,-7.53511,110.75901
0.0,5.1683756,-75.0075016
3.0,3.08938,101.5463
0.0,37.6448319,127.0208761
-2.0,53.83170912,-2.73286823
3.0,52.4459358,-2.1415693
0.0,35.67686,139.752268
0.0,-30.01335454,-51.20282292
3.0,52.93767076,-1.43535177
0.0,38.7802541,-77.0168483
0.0,39.78717804,-77.54316711
0.0,37.3433863,-77.399354
1.0,42.46037097,-71.06085955
0.0,47.38851227,8.53860362
0.0,53.992594,-1.542786
